Order_ID,Date,Year,Month,Product_Name,Category,Region,Country,City,Sales_Channel,Units_Sold,Price_per_Unit,Total_Revenue,Total_Cost,Profit,Product_Color,Product_Size,Discount_%
ORD0001,2024-04-02,2024,April,Adilette Slides,Footwear,South,India,Berlin,Retail Store,117,7965,931905,642733.28,289171.72,Black,L,30
ORD0002,2024-03-27,2024,March,Ultraboost Shoes,Footwear,East,Germany,London,Online,32,5229,167328,93086.94,74241.06,Red,43,27
ORD0003,2024-02-02,2024,February,Adilette Slides,Footwear,South,UK,New York,Online,18,10387,186966,116065.42,70900.58,Blue,43,25
ORD0004,2024-04-04,2024,April,NMD Sneakers,Footwear,South,USA,London,Online,186,6239,1160454,777677.15,382776.85,Blue,44,20
ORD0005,2024-09-02,2024,September,Training Pants,Apparel,West,Germany,London,Distributor,42,7041,295722,163180.82,132541.18,White,42,7
ORD0006,2024-11-01,2024,November,Training Pants,Apparel,East,UK,Mumbai,Online,85,7523,639455,429635.63,209819.37,White,L,1
ORD0007,2024-08-04,2024,August,Ultraboost Shoes,Footwear,West,UK,Delhi,Online,52,7970,414440,262957.87,151482.13,Red,S,25
ORD0008,2025-02-09,2025,February,NMD Sneakers,Footwear,North,India,London,Retail Store,51,8229,419679,279744.59,139934.41,White,44,11
ORD0009,2023-04-06,2023,April,Track Jacket,Apparel,West,Germany,London,Distributor,75,6567,492525,328199.78,164325.22,Grey,44,24
ORD0010,2024-11-21,2024,November,Ultraboost Shoes,Footwear,West,USA,New York,Online,52,7849,408148,243012.25,165135.75,Grey,L,19
ORD0011,2025-06-04,2025,June,Running Shorts,Apparel,South,Germany,New York,Online,139,5644,784516,406218.13,378297.87,Black,S,26
ORD0012,2025-04-28,2025,April,Track Jacket,Apparel,East,India,London,Online,140,4136,579040,346479.42,232560.58,Grey,43,12
ORD0013,2023-12-20,2023,December,Track Jacket,Apparel,West,India,Delhi,Retail Store,44,5712,251328,144679.93,106648.07,White,42,20
ORD0014,2024-11-09,2024,November,Adilette Slides,Footwear,East,India,New York,Retail Store,116,11712,1358592,922734.1,435857.9,Grey,XL,19
ORD0015,2023-05-17,2023,May,Training Pants,Apparel,West,USA,Indore,Online,123,2857,351411,214138.53,137272.47,White,42,15
ORD0016,2023-05-27,2023,May,NMD Sneakers,Footwear,South,UK,Delhi,Online,149,3131,466519,267645.3,198873.7,Black,XL,18
ORD0017,2025-02-25,2025,February,Adilette Slides,Footwear,West,Germany,Berlin,Distributor,74,2140,158360,89042.09,69317.91,Blue,M,30
ORD0018,2025-03-14,2025,March,NMD Sneakers,Footwear,East,Germany,New York,Online,195,10792,2104440,1298275.82,806164.18,Red,XL,26
ORD0019,2023-10-16,2023,October,NMD Sneakers,Footwear,East,USA,Indore,Online,152,2135,324520,218566.49,105953.51,Grey,XL,22
ORD0020,2024-08-16,2024,August,NMD Sneakers,Footwear,South,UK,Indore,Distributor,50,7177,358850,250997.93,107852.07,Blue,43,9
ORD0021,2024-01-01,2024,January,Ultraboost Shoes,Footwear,South,India,London,Retail Store,145,5754,834330,521649.16,312680.84,Red,XL,16
ORD0022,2023-06-11,2023,June,Ultraboost Shoes,Footwear,East,India,Delhi,Retail Store,57,5802,330714,231111.64,99602.36,Blue,L,13
ORD0023,2024-10-13,2024,October,NMD Sneakers,Footwear,East,Germany,Berlin,Online,76,6106,464056,243792.95,220263.05,Red,42,13
ORD0024,2025-02-15,2025,February,Ultraboost Shoes,Footwear,East,India,Mumbai,Online,58,6800,394400,201151.62,193248.38,Blue,M,16
ORD0025,2024-09-05,2024,September,Adilette Slides,Footwear,North,Germany,Berlin,Distributor,155,11445,1773975,961076.19,812898.81,Black,43,0
ORD0026,2024-11-07,2024,November,Ultraboost Shoes,Footwear,South,India,Indore,Retail Store,90,5073,456570,249880.83,206689.17,Grey,43,19
ORD0027,2023-04-23,2023,April,Football Jersey,Apparel,East,USA,Mumbai,Online,63,11756,740628,507763.11,232864.89,Grey,42,29
ORD0028,2023-11-07,2023,November,Running Shorts,Apparel,North,India,Indore,Distributor,7,9263,64841,40361.41,24479.59,White,44,14
ORD0029,2024-04-30,2024,April,Adilette Slides,Footwear,North,UK,New York,Distributor,84,7692,646128,337878.4,308249.6,Black,43,28
ORD0030,2024-01-05,2024,January,Running Shorts,Apparel,East,USA,New York,Distributor,26,2897,75322,52254.94,23067.06,Grey,43,15
ORD0031,2024-08-18,2024,August,Football Jersey,Apparel,South,UK,New York,Online,72,4080,293760,166320.81,127439.19,Blue,M,7
ORD0032,2025-03-14,2025,March,Training Pants,Apparel,East,Germany,Indore,Distributor,37,10040,371480,220240.3,151239.7,Red,S,15
ORD0033,2025-05-19,2025,May,NMD Sneakers,Footwear,West,UK,Indore,Distributor,63,5601,352863,203583.62,149279.38,Blue,XL,8
ORD0034,2025-01-18,2025,January,Training Pants,Apparel,West,India,London,Distributor,95,9521,904495,453260.11,451234.89,Grey,42,24
ORD0035,2023-01-01,2023,January,Football Jersey,Apparel,South,USA,Berlin,Online,99,10903,1079397,700235.39,379161.61,Black,43,20
ORD0036,2025-03-22,2025,March,Track Jacket,Apparel,West,Germany,Delhi,Online,122,10480,1278560,795465.66,483094.34,Black,M,7
ORD0037,2023-12-27,2023,December,Training Pants,Apparel,North,Germany,Indore,Retail Store,117,3105,363285,246491.12,116793.88,White,42,19
ORD0038,2024-02-28,2024,February,Ultraboost Shoes,Footwear,North,India,London,Retail Store,106,11893,1260658,654276.66,606381.34,White,S,27
ORD0039,2024-05-02,2024,May,Football Jersey,Apparel,West,USA,Delhi,Retail Store,173,10357,1791761,912826.39,878934.61,White,XL,3
ORD0040,2023-11-30,2023,November,Ultraboost Shoes,Footwear,North,UK,Delhi,Retail Store,15,4209,63135,41318.93,21816.07,White,XL,16
ORD0041,2023-12-01,2023,December,Football Jersey,Apparel,West,USA,Mumbai,Distributor,113,8157,921741,618036.25,303704.75,Grey,43,9
ORD0042,2024-01-15,2024,January,Adilette Slides,Footwear,West,USA,Berlin,Online,150,11740,1761000,906277.34,854722.66,White,42,12
ORD0043,2025-02-22,2025,February,Adilette Slides,Footwear,North,USA,Mumbai,Online,118,11971,1412578,868489.46,544088.54,Red,44,16
ORD0044,2023-02-06,2023,February,NMD Sneakers,Footwear,East,USA,Mumbai,Retail Store,94,5852,550088,349659.59,200428.41,Blue,XL,23
